Id,,,,,,,,,,,,
Id,defeated,mult,vars,debuff_text,debuff,name,pos,dollars,order,is_boss,boss_colour,boss
string,bool,number,string[],string,table,string,vec2,number,number,bool,string,table
unique,,,,,,,,,,,,
bl_small,FALSE,1,{},,{},Small Blind,"{0,0}",3,1,FALSE,,
bl_serpent,FALSE,2,{},,{},Big Blind,"{0,1}",4,2,FALSE,,
bl_wall,FALSE,4,{},,{},The Hook,"{0,7}",5,3,TRUE,a84024,"{showdown=false,min=1,max=10}"
bl_water,FALSE,2,{},,{},The Ox,"{0,2}",5,4,TRUE,b95b08,"{showdown=false,min=6,max=10}"
bl_final_acorn,FALSE,2,{},,{},The House,"{0,3}",5,5,TRUE,5186a8,"{showdown=false,min=2,max=10}"
bl_house,FALSE,2,{},,{},The Wall,"{0,9}",5,6,TRUE,8a59a5,"{showdown=false,min=2,max=10}"
bl_big,FALSE,1.5,{},,{},The Wheel,"{0,10}",5,7,TRUE,50bf7c,"{showdown=false,min=2,max=10}"
bl_flint,FALSE,2,{},,{},The Arm,"{0,11}",5,8,TRUE,6865f3,"{showdown=false,min=2,max=10}"
bl_mark,FALSE,2,{},,{suit='Clubs'},The Club,"{0,4}",5,9,TRUE,b9cb92,"{showdown=false,min=1,max=10}"
bl_plant,FALSE,2,{},,{},The Fish,"{0,5}",5,10,TRUE,3e85bd,"{showdown=false,min=2,max=10}"
bl_pillar,FALSE,2,{},,{h_size_ge=5},The Psychic,"{0,12}",5,11,TRUE,efc03c,"{showdown=false,min=1,max=10}"
bl_final_heart,FALSE,2,{},,{suit='Spades'},The Goad,"{0,13}",5,12,TRUE,b95c96,"{showdown=false,min=1,max=10}"
bl_window,FALSE,2,{},,{},The Water,"{0,14}",5,13,TRUE,c6e0eb,"{showdown=false,min=2,max=10}"
bl_final_vessel,FALSE,6,{},,{suit='Diamonds'},The Window,"{0,6}",5,14,TRUE,a9a295,"{showdown=false,min=1,max=10}"
bl_hook,FALSE,2,{},,{},The Manacle,"{0,8}",5,15,TRUE,575757,"{showdown=false,min=1,max=10}"
bl_final_leaf,FALSE,2,{},,{},The Eye,"{0,17}",5,16,TRUE,4b71e4,"{showdown=false,min=3,max=10}"
bl_head,FALSE,2,{},,{},The Mouth,"{0,18}",5,17,TRUE,ae718e,"{showdown=false,min=2,max=10}"
bl_mouth,FALSE,2,{},,{is_face='face'},The Plant,"{0,19}",5,18,TRUE,709284,"{showdown=false,min=4,max=10}"
bl_needle,FALSE,1,{},,{},The Serpent,"{0,15}",5,19,TRUE,439a4f,"{showdown=false,min=5,max=10}"
bl_eye,FALSE,2,{},,{},The Pillar,"{0,16}",5,20,TRUE,7e6752,"{showdown=false,min=1,max=10}"
bl_fish,FALSE,2,{},,{},The Needle,"{0,20}",5,21,TRUE,5c6e31,"{showdown=false,min=2,max=10}"
bl_wheel,FALSE,2,{},,{suit='Hearts'},The Head,"{0,21}",5,22,TRUE,ac9db4,"{showdown=false,min=1,max=10}"
bl_goad,FALSE,2,{},,{},The Tooth,"{0,22}",5,23,TRUE,b52d2d,"{showdown=false,min=3,max=10}"
bl_club,FALSE,2,{},,{},The Flint,"{0,24}",5,24,TRUE,e56a2f,"{showdown=false,min=2,max=10}"
bl_arm,FALSE,2,{},,{},The Mark,"{0,23}",5,25,TRUE,6a3847,"{showdown=false,min=2,max=10}"
bl_tooth,FALSE,2,{},,{},Amber Acorn,"{0,27}",8,26,TRUE,fda200,"{showdown=true,min=10,max=10}"
bl_final_bell,FALSE,2,{},,{},Verdant Leaf,"{0,28}",8,27,TRUE,56a786,"{showdown=true,min=10,max=10}"
bl_psychic,FALSE,2,{},,{},Violet Vessel,"{0,29}",8,28,TRUE,8a71e1,"{showdown=true,min=10,max=10}"
bl_manacle,FALSE,2,{},,{},Crimson Heart,"{0,25}",8,29,TRUE,ac3232,"{showdown=true,min=10,max=10}"
bl_ox,FALSE,2,"{""ph_most_played""}",,{},Cerulean Bell,"{0,26}",8,30,TRUE,009cfd,"{showdown=true,min=10,max=10}"
