Id,,,,,,,,,,
Id,atlas,config,cost,discovered,kind,name,order,pos,set,weight
string,string,string,number,bool,string,string,number,vec2,string,number
unique,,,,,,,,,,
p_spectral_normal_1,Booster,p_spectral_normal_1,4,FALSE,Spectral,Spectral Pack,29,"{0,4}",Booster,0.3
p_buffoon_mega_1,Booster,p_buffoon_mega_1,8,FALSE,Buffoon,Mega Buffoon Pack,28,"{3,8}",Booster,0.15
p_spectral_normal_2,Booster,p_spectral_normal_2,4,FALSE,Spectral,Spectral Pack,30,"{1,4}",Booster,0.3
p_spectral_jumbo_1,Booster,p_spectral_jumbo_1,6,FALSE,Spectral,Jumbo Spectral Pack,31,"{2,4}",Booster,0.3
p_buffoon_jumbo_1,Booster,p_buffoon_jumbo_1,6,FALSE,Buffoon,Jumbo Buffoon Pack,27,"{2,8}",Booster,0.6
p_arcana_normal_1,Booster,p_arcana_normal_1,4,FALSE,Arcana,Arcana Pack,1,"{0,0}",Booster,1
p_standard_normal_4,Booster,p_standard_normal_4,4,FALSE,Standard,Standard Pack,20,"{3,6}",Booster,1
p_standard_normal_1,Booster,p_standard_normal_1,4,FALSE,Standard,Standard Pack,17,"{0,6}",Booster,1
p_buffoon_normal_1,Booster,p_buffoon_normal_1,4,FALSE,Buffoon,Buffoon Pack,25,"{0,8}",Booster,0.6
p_standard_mega_1,Booster,p_standard_mega_1,8,FALSE,Standard,Mega Standard Pack,23,"{2,7}",Booster,0.25
p_standard_normal_2,Booster,p_standard_normal_2,4,FALSE,Standard,Standard Pack,18,"{1,6}",Booster,1
p_arcana_normal_2,Booster,p_arcana_normal_2,4,FALSE,Arcana,Arcana Pack,2,"{1,0}",Booster,1
p_arcana_normal_3,Booster,p_arcana_normal_3,4,FALSE,Arcana,Arcana Pack,3,"{2,0}",Booster,1
p_arcana_normal_4,Booster,p_arcana_normal_4,4,FALSE,Arcana,Arcana Pack,4,"{3,0}",Booster,1
p_arcana_jumbo_1,Booster,p_arcana_jumbo_1,6,FALSE,Arcana,Jumbo Arcana Pack,5,"{0,2}",Booster,1
p_standard_jumbo_2,Booster,p_standard_jumbo_2,6,FALSE,Standard,Jumbo Standard Pack,22,"{1,7}",Booster,1
p_arcana_jumbo_2,Booster,p_arcana_jumbo_2,6,FALSE,Arcana,Jumbo Arcana Pack,6,"{1,2}",Booster,1
p_arcana_mega_1,Booster,p_arcana_mega_1,8,FALSE,Arcana,Mega Arcana Pack,7,"{2,2}",Booster,0.25
p_standard_mega_2,Booster,p_standard_mega_2,8,FALSE,Standard,Mega Standard Pack,24,"{3,7}",Booster,0.25
p_arcana_mega_2,Booster,p_arcana_mega_2,8,FALSE,Arcana,Mega Arcana Pack,8,"{3,2}",Booster,0.25
p_celestial_normal_1,Booster,p_celestial_normal_1,4,FALSE,Celestial,Celestial Pack,9,"{0,1}",Booster,1
p_standard_jumbo_1,Booster,p_standard_jumbo_1,6,FALSE,Standard,Jumbo Standard Pack,21,"{0,7}",Booster,1
p_buffoon_normal_2,Booster,p_buffoon_normal_2,4,FALSE,Buffoon,Buffoon Pack,26,"{1,8}",Booster,0.6
p_celestial_normal_2,Booster,p_celestial_normal_2,4,FALSE,Celestial,Celestial Pack,10,"{1,1}",Booster,1
p_celestial_normal_3,Booster,p_celestial_normal_3,4,FALSE,Celestial,Celestial Pack,11,"{2,1}",Booster,1
p_celestial_normal_4,Booster,p_celestial_normal_4,4,FALSE,Celestial,Celestial Pack,12,"{3,1}",Booster,1
p_celestial_jumbo_1,Booster,p_celestial_jumbo_1,6,FALSE,Celestial,Jumbo Celestial Pack,13,"{0,3}",Booster,1
p_standard_normal_3,Booster,p_standard_normal_3,4,FALSE,Standard,Standard Pack,19,"{2,6}",Booster,1
p_celestial_jumbo_2,Booster,p_celestial_jumbo_2,6,FALSE,Celestial,Jumbo Celestial Pack,14,"{1,3}",Booster,1
p_celestial_mega_1,Booster,p_celestial_mega_1,8,FALSE,Celestial,Mega Celestial Pack,15,"{2,3}",Booster,0.25
p_spectral_mega_1,Booster,p_spectral_mega_1,8,FALSE,Spectral,Mega Spectral Pack,32,"{3,4}",Booster,0.07
p_celestial_mega_2,Booster,p_celestial_mega_2,8,FALSE,Celestial,Mega Celestial Pack,16,"{3,3}",Booster,0.25
