Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Xmult,ante_scaling,bonus,choose,consumable_slot,consumables,d_size,discards,dollars,extra,extra_discard_bonus,extra_disp,extra_hand_bonus,h_dollars,h_size,h_x_mult,hand_size,hand_type,hands,joker_slot,max_highlighted,min_highlighted,mod_conv,mult,no_interest,p_dollars,planets,randomize_rank_suit,remove_card,remove_faces,softlock,spectral_rate,suit_conv,t_chips,t_mult,tarots,type,voucher,vouchers
string,number,number,number,number,number,string[],number,number,number,code,number,number,number,number,number,number,number,string,number,number,number,number,string,number,bool,number,number,bool,bool,bool,bool,number,string,number,number,number,string,string,string[]
unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j_flash,0,0,0,0,0,{},0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_banner,0,0,0,0,0,{},0,0,0,30,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_popcorn,0,0,0,0,0,{},0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,,20,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_mystic_summit,0,0,0,0,0,{},0,0,0,"{d_remaining=0,mult=15}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_ancient,0,0,0,0,0,{},0,0,0,1.5,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_marble,0,0,0,0,0,{},0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_earth,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,Full House,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
v_liquidation,0,0,0,0,0,{},0,0,0,50,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_selzer,0,0,0,0,0,{},0,0,0,10,0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_mars,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,Four of a Kind,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
j_castle,0,0,0,0,0,{},0,0,0,"{chips=0,chip_mod=3}",0,0,0,0,0,0,0,,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
c_jupiter,0,0,0,0,0,{},0,0,0,,0,0,0,0,0,0,0,Flush,0,0,0,0,,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,,0,0,0,,,{}
