Id,字体文件,"渲染大小倍数, 与 tile_size相乘使用",,,,"test1
test2",
Id,file,render_scale,TEXT_HEIGHT_SCALE,TEXT_OFFSET,FONTSCALE,squish,DESCSCALE
string,string,number,number,vec2,number,number,number
unique,,,,,,,
1,asset/resources/fonts/m6x11plus.ttf,10,0.83,"{10,-20}",0.1,1,1
2,asset/resources/fonts/NotoSansSC-Bold.ttf,7,0.7,"{0,-35}",0.12,1,1.1
3,asset/resources/fonts/NotoSansTC-Bold.ttf,7,0.7,"{0,-35}",0.12,1,1.1
4,asset/resources/fonts/NotoSansKR-Bold.ttf,7,0.8,"{0,-20}",0.12,1,1
5,asset/resources/fonts/NotoSansJP-Bold.ttf,7,0.8,"{0,-20}",0.12,1,1
6,asset/resources/fonts/NotoSans-Bold.ttf,7,0.65,"{0,-40}",0.12,1,1
7,asset/resources/fonts/m6x11plus.ttf,10,0.9,"{10,15}",0.1,1,1
8,asset/resources/fonts/GoNotoCurrent-Bold.ttf,10,0.8,"{10,-20}",0.1,1,1
9,asset/resources/fonts/GoNotoCJKCore.ttf,10,0.8,"{10,-20}",0.1,1,1
