Id,,,,,,,,,,,,,,,,,,,,
Id,blueprint_compat,config,cost,cost_mult,discovered,effect,enhancement_gate,eternal_compat,name,no_pool_flag,order,perishable_compat,pos,rarity,set,soul_pos,start_alerted,unlock_condition,unlocked,yes_pool_flag
string,bool,string,number,number,bool,string,string,bool,string,string,number,bool,vec2,number,string,code,bool,string,bool,string
unique,,,,,,,,,,,,,,,,,,,,
j_marble,TRUE,j_marble,6,1,FALSE,Stone card hands,,TRUE,Marble Joker,,24,TRUE,"{3,2}",2,Joker,,FALSE,,TRUE,
j_ancient,TRUE,j_ancient,8,0,FALSE,,,TRUE,Ancient Joker,,99,TRUE,"{7,15}",3,Joker,,FALSE,,TRUE,
j_loyalty_card,TRUE,j_loyalty_card,5,1,FALSE,1 in 10 mult,,TRUE,Loyalty Card,,25,TRUE,"{4,2}",2,Joker,,FALSE,,TRUE,
j_ramen,TRUE,j_ramen,6,0,FALSE,,,FALSE,Ramen,,100,TRUE,"{2,15}",2,Joker,,FALSE,,TRUE,
j_walkie_talkie,TRUE,j_walkie_talkie,4,0,FALSE,,,TRUE,Walkie Talkie,,101,TRUE,"{8,15}",1,Joker,,FALSE,,TRUE,
j_campfire,TRUE,j_campfire,9,0,FALSE,,,TRUE,Campfire,,105,TRUE,"{5,15}",3,Joker,,FALSE,,TRUE,
j_selzer,TRUE,j_selzer,6,0,FALSE,,,FALSE,Seltzer,,102,TRUE,"{3,15}",2,Joker,,FALSE,,TRUE,
j_ticket,TRUE,j_ticket,5,1,FALSE,dollars for Gold cards,m_gold,TRUE,Golden Ticket,,106,TRUE,"{5,3}",1,Joker,,FALSE,j_ticket,FALSE,
j_8_ball,TRUE,j_8_ball,5,1,FALSE,Spawn Tarot,,TRUE,8 Ball,,26,TRUE,"{0,5}",1,Joker,,FALSE,,TRUE,
j_smiley,TRUE,j_smiley,4,0,FALSE,,,TRUE,Smiley Face,,104,TRUE,"{6,15}",1,Joker,,FALSE,,TRUE,
j_misprint,TRUE,j_misprint,4,1,FALSE,Random Mult,,TRUE,Misprint,,27,TRUE,"{6,2}",1,Joker,,FALSE,,TRUE,
j_mr_bones,FALSE,j_mr_bones,5,1,FALSE,Prevent Death,,FALSE,Mr. Bones,,107,TRUE,"{3,4}",2,Joker,,FALSE,j_mr_bones,FALSE,
j_dusk,TRUE,j_dusk,5,0,FALSE,,,TRUE,Dusk,,28,TRUE,"{4,7}",2,Joker,,FALSE,j_dusk,TRUE,
j_acrobat,TRUE,j_acrobat,6,1,FALSE,Shop size,,TRUE,Acrobat,,108,TRUE,"{2,1}",2,Joker,,FALSE,j_acrobat,FALSE,
j_raised_fist,TRUE,j_raised_fist,5,1,FALSE,Socialized Mult,,TRUE,Raised Fist,,29,TRUE,"{8,2}",1,Joker,,FALSE,,TRUE,
j_chaos,FALSE,j_chaos,4,1,FALSE,Bonus Rerolls,,TRUE,Chaos the Clown,,30,TRUE,"{1,0}",1,Joker,,FALSE,,TRUE,
j_fibonacci,TRUE,j_fibonacci,8,1,FALSE,Card Mult,,TRUE,Fibonacci,,31,TRUE,"{1,5}",2,Joker,,FALSE,,TRUE,
j_swashbuckler,TRUE,j_swashbuckler,4,1,FALSE,Set Mult,,TRUE,Swashbuckler,,110,TRUE,"{9,5}",1,Joker,,FALSE,j_swashbuckler,FALSE,
j_steel_joker,TRUE,j_steel_joker,7,1,FALSE,Steel Card Buff,m_steel,TRUE,Steel Joker,,32,TRUE,"{7,2}",2,Joker,,FALSE,,TRUE,
j_troubadour,FALSE,j_troubadour,6,1,FALSE,"Hand Size, Plays",,TRUE,Troubadour,,111,TRUE,"{0,2}",2,Joker,,FALSE,j_troubadour,FALSE,
j_scary_face,TRUE,j_scary_face,4,1,FALSE,Scary Face Cards,,TRUE,Scary Face,,33,TRUE,"{2,3}",1,Joker,,FALSE,,TRUE,
j_certificate,TRUE,j_certificate,6,0,FALSE,,,TRUE,Certificate,,112,TRUE,"{8,8}",2,Joker,,FALSE,j_certificate,FALSE,
j_abstract,TRUE,j_abstract,4,1,FALSE,Joker Mult,,TRUE,Abstract Joker,,34,TRUE,"{3,3}",1,Joker,,FALSE,,TRUE,
j_smeared,FALSE,j_smeared,7,0,FALSE,,,TRUE,Smeared Joker,,113,TRUE,"{4,6}",2,Joker,,FALSE,j_smeared,FALSE,
j_throwback,TRUE,j_throwback,6,0,FALSE,,,TRUE,Throwback,,114,TRUE,"{5,7}",2,Joker,,FALSE,j_throwback,FALSE,
j_hanging_chad,TRUE,j_hanging_chad,4,0,FALSE,,,TRUE,Hanging Chad,,115,TRUE,"{9,6}",1,Joker,,FALSE,j_hanging_chad,FALSE,
j_drivers_license,TRUE,j_drivers_license,7,0,FALSE,,,TRUE,Driver's License,,141,TRUE,"{0,7}",3,Joker,,FALSE,j_drivers_license,FALSE,
j_rough_gem,TRUE,j_rough_gem,7,0,FALSE,,,TRUE,Rough Gem,,116,TRUE,"{9,7}",2,Joker,,FALSE,j_rough_gem,FALSE,
j_bloodstone,TRUE,j_bloodstone,7,0,FALSE,,,TRUE,Bloodstone,,117,TRUE,"{0,8}",2,Joker,,FALSE,j_bloodstone,FALSE,
j_cartomancer,TRUE,j_cartomancer,6,1,FALSE,Tarot Buff,,TRUE,Cartomancer,,142,TRUE,"{7,3}",2,Joker,,FALSE,j_cartomancer,FALSE,
j_arrowhead,TRUE,j_arrowhead,7,0,FALSE,,,TRUE,Arrowhead,,118,TRUE,"{1,8}",2,Joker,,FALSE,j_arrowhead,FALSE,
j_onyx_agate,TRUE,j_onyx_agate,7,0,FALSE,,,TRUE,Onyx Agate,,119,TRUE,"{2,8}",2,Joker,,FALSE,j_onyx_agate,FALSE,
j_glass,TRUE,j_glass,6,1,FALSE,Glass Card,m_glass,TRUE,Glass Joker,,120,FALSE,"{1,3}",2,Joker,,FALSE,j_glass,FALSE,
j_burnt,TRUE,j_burnt,8,0,FALSE,,,TRUE,Burnt Joker,,144,TRUE,"{3,7}",3,Joker,,FALSE,j_burnt,FALSE,
j_ring_master,FALSE,j_ring_master,5,0,FALSE,,,TRUE,Showman,,121,TRUE,"{6,5}",2,Joker,,FALSE,j_ring_master,FALSE,
j_bootstraps,TRUE,j_bootstraps,7,0,FALSE,,,TRUE,Bootstraps,,145,TRUE,"{9,8}",2,Joker,,FALSE,j_bootstraps,FALSE,
j_flower_pot,TRUE,j_flower_pot,6,0,FALSE,,,TRUE,Flower Pot,,122,TRUE,"{0,6}",2,Joker,,FALSE,j_flower_pot,FALSE,
j_caino,TRUE,j_caino,20,0,FALSE,,,TRUE,Caino,,146,TRUE,"{3,8}",4,Joker,"{x=3,y=9}",FALSE,j_caino,FALSE,
j_triboulet,TRUE,j_triboulet,20,0,FALSE,,,TRUE,Triboulet,,147,TRUE,"{4,8}",4,Joker,"{x=4,y=9}",FALSE,j_triboulet,FALSE,
j_wee,TRUE,j_wee,8,0,FALSE,,,TRUE,Wee Joker,,124,FALSE,"{0,0}",3,Joker,,FALSE,j_wee,FALSE,
j_chicot,FALSE,j_chicot,20,0,FALSE,,,TRUE,Chicot,,149,TRUE,"{6,8}",4,Joker,"{x=6,y=9}",FALSE,j_chicot,FALSE,
j_oops,FALSE,j_oops,4,0,FALSE,,,TRUE,Oops! All 6s,,126,TRUE,"{5,6}",2,Joker,,FALSE,j_oops,FALSE,
j_idol,TRUE,j_idol,6,0,FALSE,,,TRUE,The Idol,,127,TRUE,"{6,7}",2,Joker,,FALSE,j_idol,FALSE,
j_seeing_double,TRUE,j_seeing_double,6,1,FALSE,X1.5 Mult club 7,,TRUE,Seeing Double,,128,TRUE,"{4,4}",2,Joker,,FALSE,j_seeing_double,FALSE,
j_matador,TRUE,j_matador,7,0,FALSE,,,TRUE,Matador,,129,TRUE,"{4,5}",2,Joker,,FALSE,j_matador,FALSE,
j_hit_the_road,TRUE,j_hit_the_road,8,1,FALSE,Jack Discard Effect,,TRUE,Hit the Road,,130,TRUE,"{8,5}",3,Joker,,FALSE,j_hit_the_road,FALSE,
