Id,,,,,,,,,,,
Id,config,consumeable,cost,cost_mult,discovered,effect,freq,name,order,pos,set
string,string,bool,number,number,bool,string,number,string,number,vec2,string
unique,,,,,,,,,,,
c_uranus,c_uranus,TRUE,3,1,FALSE,Hand Upgrade,1,Uranus,7,"{6,3}",Planet
c_mercury,c_mercury,TRUE,3,1,FALSE,Hand Upgrade,1,Mercury,1,"{0,3}",Planet
c_neptune,c_neptune,TRUE,3,1,FALSE,Hand Upgrade,1,Neptune,8,"{7,3}",Planet
c_pluto,c_pluto,TRUE,3,1,FALSE,Hand Upgrade,1,Pluto,9,"{8,3}",Planet
c_venus,c_venus,TRUE,3,1,FALSE,Hand Upgrade,1,Venus,2,"{1,3}",Planet
c_planet_x,c_planet_x,TRUE,3,1,FALSE,Hand Upgrade,1,Planet X,10,"{9,2}",Planet
c_earth,c_earth,TRUE,3,1,FALSE,Hand Upgrade,1,Earth,3,"{2,3}",Planet
c_mars,c_mars,TRUE,3,1,FALSE,Hand Upgrade,1,Mars,4,"{3,3}",Planet
c_ceres,c_ceres,TRUE,3,1,FALSE,Hand Upgrade,1,Ceres,11,"{8,2}",Planet
c_jupiter,c_jupiter,TRUE,3,1,FALSE,Hand Upgrade,1,Jupiter,5,"{4,3}",Planet
c_eris,c_eris,TRUE,3,1,FALSE,Hand Upgrade,1,Eris,12,"{3,2}",Planet
c_saturn,c_saturn,TRUE,3,1,FALSE,Hand Upgrade,1,Saturn,6,"{5,3}",Planet
