Id,,,,
Id,name,value,suit,pos
string,string,string,string,vec2
unique,,,,
C_2,2 of Clubs,2,Clubs,"{0,1}"
C_3,3 of Clubs,3,Clubs,"{1,1}"
C_4,4 of Clubs,4,Clubs,"{2,1}"
C_5,5 of Clubs,5,Clubs,"{3,1}"
C_6,6 of Clubs,6,Clubs,"{4,1}"
C_7,7 of Clubs,7,Clubs,"{5,1}"
C_8,8 of Clubs,8,Clubs,"{6,1}"
C_9,9 of Clubs,9,Clubs,"{7,1}"
C_A,Ace of Clubs,Ace,Clubs,"{12,1}"
C_J,Jack of Clubs,Jack,Clubs,"{9,1}"
C_K,King of Clubs,King,Clubs,"{11,1}"
C_Q,Queen of Clubs,Queen,Clubs,"{10,1}"
C_T,10 of Clubs,10,Clubs,"{8,1}"
D_2,2 of Diamonds,2,Diamonds,"{0,2}"
D_3,3 of Diamonds,3,Diamonds,"{1,2}"
D_4,4 of Diamonds,4,Diamonds,"{2,2}"
D_5,5 of Diamonds,5,Diamonds,"{3,2}"
D_6,6 of Diamonds,6,Diamonds,"{4,2}"
D_7,7 of Diamonds,7,Diamonds,"{5,2}"
D_8,8 of Diamonds,8,Diamonds,"{6,2}"
D_9,9 of Diamonds,9,Diamonds,"{7,2}"
D_A,Ace of Diamonds,Ace,Diamonds,"{12,2}"
D_J,Jack of Diamonds,Jack,Diamonds,"{9,2}"
D_K,King of Diamonds,King,Diamonds,"{11,2}"
D_Q,Queen of Diamonds,Queen,Diamonds,"{10,2}"
D_T,10 of Diamonds,10,Diamonds,"{8,2}"
H_2,2 of Hearts,2,Hearts,"{0,0}"
H_3,3 of Hearts,3,Hearts,"{1,0}"
H_4,4 of Hearts,4,Hearts,"{2,0}"
H_5,5 of Hearts,5,Hearts,"{3,0}"
H_6,6 of Hearts,6,Hearts,"{4,0}"
H_7,7 of Hearts,7,Hearts,"{5,0}"
H_8,8 of Hearts,8,Hearts,"{6,0}"
H_9,9 of Hearts,9,Hearts,"{7,0}"
H_A,Ace of Hearts,Ace,Hearts,"{12,0}"
H_J,Jack of Hearts,Jack,Hearts,"{9,0}"
H_K,King of Hearts,King,Hearts,"{11,0}"
H_Q,Queen of Hearts,Queen,Hearts,"{10,0}"
H_T,10 of Hearts,10,Hearts,"{8,0}"
S_2,2 of Spades,2,Spades,"{0,3}"
S_3,3 of Spades,3,Spades,"{1,3}"
S_4,4 of Spades,4,Spades,"{2,3}"
S_5,5 of Spades,5,Spades,"{3,3}"
S_6,6 of Spades,6,Spades,"{4,3}"
S_7,7 of Spades,7,Spades,"{5,3}"
S_8,8 of Spades,8,Spades,"{6,3}"
S_9,9 of Spades,9,Spades,"{7,3}"
S_A,Ace of Spades,Ace,Spades,"{12,3}"
S_J,Jack of Spades,Jack,Spades,"{9,3}"
S_K,King of Spades,King,Spades,"{11,3}"
S_Q,Queen of Spades,Queen,Spades,"{10,3}"
S_T,10 of Spades,10,Spades,"{8,3}"
