Id,,,,,,,,
Id,set,requires,discovered,min_ante,order,config,pos,name
string,string,string,bool,number,number,string,vec2,string
unique,,,,,,,,
tag_uncommon,Tag,,FALSE,0,1,tag_uncommon,"{0,0}",Uncommon Tag
tag_rare,Tag,j_blueprint,FALSE,0,2,tag_rare,"{1,0}",Rare Tag
tag_negative,Tag,e_negative,FALSE,2,3,tag_negative,"{2,0}",Negative Tag
tag_foil,Tag,e_foil,FALSE,0,4,tag_foil,"{3,0}",Foil Tag
tag_holo,Tag,e_holo,FALSE,0,5,tag_holo,"{0,1}",Holographic Tag
tag_polychrome,Tag,e_polychrome,FALSE,0,6,tag_polychrome,"{1,1}",Polychrome Tag
tag_investment,Tag,,FALSE,0,7,tag_investment,"{2,1}",Investment Tag
tag_voucher,Tag,,FALSE,0,8,tag_voucher,"{3,1}",Voucher Tag
tag_boss,Tag,,FALSE,0,9,tag_boss,"{0,2}",Boss Tag
tag_standard,Tag,,FALSE,2,10,tag_standard,"{1,2}",Standard Tag
tag_charm,Tag,,FALSE,0,11,tag_charm,"{2,2}",Charm Tag
tag_meteor,Tag,,FALSE,2,12,tag_meteor,"{3,2}",Meteor Tag
tag_buffoon,Tag,,FALSE,2,13,tag_buffoon,"{4,2}",Buffoon Tag
tag_handy,Tag,,FALSE,2,14,tag_handy,"{1,3}",Handy Tag
tag_garbage,Tag,,FALSE,2,15,tag_garbage,"{2,3}",Garbage Tag
tag_ethereal,Tag,,FALSE,2,16,tag_ethereal,"{3,3}",Ethereal Tag
tag_coupon,Tag,,FALSE,0,17,tag_coupon,"{4,0}",Coupon Tag
tag_double,Tag,,FALSE,0,18,tag_double,"{5,0}",Double Tag
tag_juggle,Tag,,FALSE,0,19,tag_juggle,"{5,1}",Juggle Tag
tag_d_six,Tag,,FALSE,0,20,tag_d_six,"{5,3}",D6 Tag
tag_top_up,Tag,,FALSE,2,21,tag_top_up,"{4,1}",Top-up Tag
tag_skip,Tag,,FALSE,0,22,tag_skip,"{0,3}",Skip Tag
tag_orbital,Tag,,FALSE,2,23,tag_orbital,"{5,2}",Orbital Tag
tag_economy,Tag,,FALSE,0,24,tag_economy,"{4,3}",Economy Tag
