Id,,,,,,,,,,,
Id,skip_bonus,levels,edition,dollars,h_size,dollars_per_hand,type,max,dollars_per_discard,spawn_jokers,odds
string,number,number,string,number,number,number,string,number,number,number,number
unique,,,,,,,,,,,
tag_charm,0,0,,0,0,0,new_blind_choice,0,0,0,0
tag_negative,0,0,negative,0,0,0,store_joker_modify,0,0,0,5
tag_buffoon,0,0,,0,0,0,new_blind_choice,0,0,0,0
tag_economy,0,0,,0,0,0,immediate,40,0,0,0
tag_handy,0,0,,0,0,1,immediate,0,0,0,0
tag_foil,0,0,foil,0,0,0,store_joker_modify,0,0,0,2
tag_garbage,0,0,,0,0,0,immediate,0,1,0,0
tag_holo,0,0,holo,0,0,0,store_joker_modify,0,0,0,3
tag_ethereal,0,0,,0,0,0,new_blind_choice,0,0,0,0
tag_coupon,0,0,,0,0,0,shop_final_pass,0,0,0,0
tag_polychrome,0,0,polychrome,0,0,0,store_joker_modify,0,0,0,4
tag_double,0,0,,0,0,0,tag_add,0,0,0,0
tag_investment,0,0,,25,0,0,eval,0,0,0,0
tag_juggle,0,0,,0,3,0,round_start_bonus,0,0,0,0
tag_orbital,0,3,,0,0,0,immediate,0,0,0,0
tag_meteor,0,0,,0,0,0,new_blind_choice,0,0,0,0
tag_voucher,0,0,,0,0,0,voucher_add,0,0,0,0
tag_d_six,0,0,,0,0,0,shop_start,0,0,0,0
tag_uncommon,0,0,,0,0,0,store_joker_create,0,0,0,0
tag_boss,0,0,,0,0,0,new_blind_choice,0,0,0,0
tag_top_up,0,0,,0,0,0,immediate,0,0,2,0
tag_rare,0,0,,0,0,0,store_joker_create,0,0,0,3
tag_standard,0,0,,0,0,0,new_blind_choice,0,0,0,0
tag_skip,5,0,,0,0,0,immediate,0,0,0,0
