Id,,,,,,,,,,,
Id,amount,ante,chips,deck,extra,hidden,n_rounds,planet_count,stake,tarot_count,type
string,number,number,number,string,code,bool,number,number,number,number,string
unique,,,,,,,,,,,
v_recyclomancy,0,0,0,,2500,FALSE,0,0,0,0,c_cards_discarded
j_caino,0,0,0,,'',TRUE,0,0,0,0,
j_triboulet,0,0,0,,'',TRUE,0,0,0,0,
v_planet_tycoon,0,0,0,,50,FALSE,0,0,0,0,c_planets_bought
j_yorick,0,0,0,,'',TRUE,0,0,0,0,
v_money_tree,0,0,0,,10,FALSE,0,0,0,0,interest_streak
j_chicot,0,0,0,,'',TRUE,0,0,0,0,
v_antimatter,0,0,0,,10,FALSE,0,0,0,0,blank_redeems
j_perkeo,0,0,0,,'',TRUE,0,0,0,0,
v_illusion,0,0,0,,20,FALSE,0,0,0,0,c_playing_cards_bought
v_petroglyph,0,12,0,,12,FALSE,0,0,0,0,ante_up
v_retcon,0,0,0,,25,FALSE,0,0,0,0,blind_discoveries
v_palette,0,0,0,,5,FALSE,0,0,0,0,min_hand_size
j_blueprint,0,0,0,,,FALSE,0,0,0,0,win_custom
b_blue,20,0,0,,,FALSE,0,0,0,0,discover_amount
b_yellow,50,0,0,,,FALSE,0,0,0,0,discover_amount
b_green,75,0,0,,,FALSE,0,0,0,0,discover_amount
j_throwback,0,0,0,,,FALSE,0,0,0,0,continue_game
b_black,100,0,0,,,FALSE,0,0,0,0,discover_amount
j_hanging_chad,0,0,0,,'High Card',FALSE,0,0,0,0,round_win
b_magic,0,0,0,b_red,,FALSE,0,0,0,0,win_deck
j_rough_gem,0,0,0,,"{count=30,suit='Diamonds'}",FALSE,0,0,0,0,modify_deck
j_bloodstone,0,0,0,,"{count=30,suit='Hearts'}",FALSE,0,0,0,0,modify_deck
j_arrowhead,0,0,0,,"{count=30,suit='Spades'}",FALSE,0,0,0,0,modify_deck
b_nebula,0,0,0,b_blue,,FALSE,0,0,0,0,win_deck
j_onyx_agate,0,0,0,,"{count=30,suit='Clubs'}",FALSE,0,0,0,0,modify_deck
j_glass,0,0,0,,"{e_key='m_glass',count=5,enhancement='Glass Card'}",FALSE,0,0,0,0,modify_deck
j_ticket,0,0,0,,'Gold',FALSE,0,0,0,0,hand_contents
j_ring_master,0,4,0,,,FALSE,0,0,0,0,ante_up
